Task,Priority,Tags,Created Date,Due Date,Alarm
Go to bank,Low,Personal,2023-09-25,2024-05-26,True
Organize desk,Low,Work,2023-05-09,2023-10-04,False
Read book,Low,Work,2023-03-08,2024-11-08,True
Renew library membership,Low,Personal,2023-11-08,2023-11-22,False
Call plumber,Low,Work,2023-09-07,2024-05-11,False
Organize desk,Medium,Work,2023-06-23,2024-02-21,True
Attend seminar,Low,Work,2024-02-04,2024-10-31,False
Prepare presentation,Low,Work,2024-04-06,2024-04-11,True
Take groceries,Low,Personal,2023-01-22,2023-07-06,True
Join gym session,Low,Work,2024-01-20,2024-03-06,True
Renew library membership,High,Work,2023-02-24,2024-07-13,False
Go to bank,High,Personal,2024-02-11,2024-06-26,True
Visit doctor,Low,Work,2023-04-24,2024-07-17,False
Buy birthday gift,Medium,Work,2023-12-02,2024-08-10,False
Renew library membership,Medium,Work,2023-11-09,2024-05-02,True
Buy birthday gift,Low,Work,2024-08-16,2024-08-23,True
Plan weekend trip,High,Personal,2023-02-23,2024-12-30,True
Attend seminar,Medium,Personal,2023-03-11,2024-10-25,True
Attend seminar,Medium,Work,2023-05-29,2023-09-20,False
Go to school,Medium,Work,2023-09-26,2024-07-12,True
Write report,Low,Work,2024-01-05,2024-11-12,True
Go to bank,Low,Personal,2023-09-12,2024-04-26,False
Join gym session,High,Work,2023-03-28,2024-08-12,True
Visit doctor,High,Work,2024-02-01,2024-02-12,False
Take stationary,Medium,Work,2023-06-16,2024-08-19,False
Take stationary,Low,Work,2023-03-24,2024-03-30,False
Book flight tickets,High,Work,2023-08-19,2023-12-19,False
Prepare presentation,Medium,Personal,2023-03-12,2023-12-01,False
Write report,High,Work,2023-03-19,2023-05-03,True
Take groceries,High,Work,2023-02-26,2024-09-02,True
Work on project,Low,Personal,2024-04-10,2024-09-24,False
Send emails,Medium,Work,2023-08-14,2023-12-30,False
Schedule car service,Low,Personal,2024-08-14,2024-11-15,True
Work on project,Medium,Work,2023-03-18,2024-07-10,False
Go to bank,Medium,Personal,2023-01-20,2023-03-28,True
Join gym session,High,Work,2024-04-11,2024-09-20,True
Prepare presentation,Medium,Personal,2024-06-07,2024-06-20,False
Call plumber,High,Work,2023-01-02,2024-07-12,False
Write report,High,Work,2023-03-14,2023-07-26,True
Plan weekend trip,Medium,Work,2023-06-17,2024-01-08,True
Read book,Low,Work,2024-01-15,2024-11-09,True
Read book,Low,Personal,2023-12-09,2024-12-27,False
Plan weekend trip,High,Personal,2023-11-26,2024-05-26,False
Prepare presentation,Medium,Work,2023-07-12,2024-10-07,False
Prepare presentation,Medium,Personal,2023-06-05,2023-09-10,False
Write report,Medium,Work,2024-02-11,2024-08-02,False
Take stationary,High,Personal,2023-12-25,2024-07-04,False
Call plumber,Medium,Personal,2023-06-05,2024-02-19,True
Call plumber,Low,Work,2023-10-19,2024-12-25,True
Complete meeting,High,Personal,2023-11-22,2024-06-21,True
Plan weekend trip,High,Personal,2024-05-11,2024-07-20,True
Attend seminar,Medium,Personal,2023-09-25,2024-10-06,False
Organize desk,Medium,Work,2024-10-01,2024-12-19,True
Organize desk,Medium,Personal,2023-12-28,2024-12-04,True
Go to school,Low,Personal,2024-06-18,2024-07-11,True
Buy birthday gift,Low,Personal,2023-06-22,2023-09-09,False
Buy birthday gift,Low,Personal,2023-12-09,2024-04-21,False
Visit doctor,High,Work,2024-04-14,2024-11-27,True
Plan weekend trip,Medium,Work,2023-03-01,2024-04-03,True
Complete meeting,Low,Personal,2024-05-05,2024-10-09,True
Book flight tickets,Low,Work,2023-03-17,2024-10-20,False
Go to school,High,Personal,2023-03-08,2024-11-12,True
Complete meeting,Low,Work,2023-02-22,2023-10-17,False
Prepare presentation,High,Work,2023-07-01,2023-08-02,False
Take stationary,High,Personal,2023-01-14,2023-10-26,False
Prepare presentation,High,Work,2023-07-14,2024-10-15,True
Book flight tickets,High,Work,2024-06-20,2024-10-03,True
Send emails,Low,Personal,2023-05-29,2023-10-09,False
Visit doctor,High,Work,2023-06-05,2024-11-29,False
Take groceries,Medium,Personal,2024-03-03,2024-07-20,False
Renew library membership,Low,Work,2023-12-30,2024-10-09,True
Go to bank,High,Work,2023-03-25,2024-06-25,True
Write report,High,Personal,2023-02-02,2023-11-25,True
Complete meeting,High,Work,2023-07-26,2023-12-23,False
Write report,High,Work,2023-11-07,2023-11-29,False
Join gym session,High,Work,2024-10-18,2024-12-03,False
Visit doctor,Low,Personal,2023-05-31,2024-12-20,True
Prepare presentation,Medium,Work,2024-06-27,2024-10-16,False
Complete meeting,Low,Work,2023-07-22,2023-11-09,True
Prepare presentation,Low,Personal,2024-05-15,2024-07-08,False
Schedule car service,Medium,Personal,2023-12-27,2024-11-23,False
Schedule car service,Low,Personal,2023-06-26,2023-07-24,True
Book flight tickets,Medium,Personal,2023-10-26,2024-11-10,False
Call plumber,Medium,Personal,2024-02-09,2024-08-27,False
Take groceries,Medium,Work,2023-10-04,2024-11-29,False
Prepare presentation,High,Personal,2023-08-07,2024-07-17,False
Send emails,High,Work,2024-04-25,2024-07-29,False
Work on project,High,Personal,2023-10-05,2023-10-20,False
Take groceries,High,Personal,2024-02-17,2024-12-27,True
Schedule car service,High,Work,2024-01-29,2024-10-05,False
Take stationary,Low,Work,2023-12-05,2024-06-04,False
Renew library membership,Medium,Personal,2023-09-14,2024-03-09,False
Buy birthday gift,High,Work,2023-10-26,2024-03-03,True
Work on project,High,Work,2023-08-09,2024-08-26,True
Go to bank,Low,Personal,2023-01-06,2023-09-05,False
Buy birthday gift,Medium,Work,2024-09-05,2024-12-16,True
Work on project,High,Work,2023-03-27,2023-11-13,False
Go to bank,Medium,Personal,2024-02-09,2024-06-27,False
Join gym session,Medium,Work,2023-01-23,2024-04-27,False
Go to school,Medium,Personal,2023-10-06,2023-11-07,True
Join gym session,High,Work,2024-02-13,2024-12-01,False
Plan weekend trip,Medium,Work,2023-03-11,2023-07-10,False
Attend seminar,Medium,Work,2024-02-18,2024-03-10,True
Join gym session,Medium,Personal,2023-12-09,2024-12-18,False
Call plumber,Low,Work,2023-04-05,2023-08-12,False
Buy birthday gift,Medium,Work,2023-04-24,2023-12-18,True
Write report,Low,Personal,2023-01-14,2023-02-06,False
Book flight tickets,High,Work,2023-06-13,2024-05-23,False
Schedule car service,Low,Work,2024-01-10,2024-12-19,True
Send emails,High,Work,2023-09-22,2024-01-28,True
Take stationary,Low,Work,2023-11-30,2024-08-12,False
Go to school,Low,Personal,2023-02-24,2024-08-13,True
Buy birthday gift,Low,Work,2024-05-03,2024-12-30,False
Write report,Medium,Personal,2023-08-29,2024-01-29,False
Take stationary,Low,Personal,2024-06-02,2024-06-25,True
Buy birthday gift,Low,Personal,2023-10-24,2024-10-31,False
Visit doctor,High,Work,2023-04-26,2024-08-28,False
Renew library membership,Medium,Work,2023-01-01,2023-09-25,False
Visit doctor,Low,Work,2023-05-15,2024-10-14,False
Buy birthday gift,Low,Work,2023-03-15,2023-10-22,True
Read book,Low,Work,2023-11-04,2024-03-22,False
Plan weekend trip,High,Work,2023-09-06,2024-06-02,True
Schedule car service,High,Personal,2024-03-02,2024-11-04,True
Plan weekend trip,Low,Personal,2023-03-28,2023-11-04,False
Book flight tickets,Low,Work,2023-09-04,2024-08-29,False
Renew library membership,Medium,Personal,2023-12-30,2024-08-23,True
Attend seminar,Low,Work,2023-11-11,2024-05-11,True
Work on project,Low,Work,2023-06-24,2024-01-30,True
Buy birthday gift,Low,Personal,2024-11-09,2024-12-25,False
Work on project,High,Personal,2023-04-18,2023-05-11,False
Take stationary,High,Personal,2023-05-17,2024-06-30,False
Book flight tickets,Low,Work,2023-03-26,2024-01-03,False
Go to bank,Low,Personal,2023-01-07,2024-11-25,False
Renew library membership,Medium,Work,2023-01-21,2024-04-22,False
Book flight tickets,Low,Work,2023-12-03,2024-11-01,True
Book flight tickets,High,Personal,2023-06-02,2024-03-15,False
Buy birthday gift,Low,Work,2024-05-10,2024-10-21,False
Plan weekend trip,Low,Personal,2024-06-10,2024-08-16,False
Prepare presentation,Low,Personal,2023-04-18,2024-11-02,True
Write report,Low,Personal,2023-07-29,2023-09-27,False
Complete meeting,Medium,Work,2024-01-25,2024-05-12,True
Send emails,Low,Personal,2024-04-17,2024-12-15,False
Work on project,High,Personal,2023-09-28,2023-12-04,True
